text,result
,
비플_미소돈까,비플 미소돈까
수도2208가정,수도2208가정
MICROSOFT*SUBS,MICROSOFT SUBS
(주)닉컴퍼니성과급,주 닉컴퍼니성과급
마포구청역점,마포구청역점
어나더치과의원,어나더치과의원
빵장수단팥빵,빵[이름]팥빵
03.20~06.18,03 20 06 18
선물하기_카카,선물하기 카카
(주)이마트  신,주 이마트 신
주식회사 비앤,주식회사 비앤
KT통신요금09,KT통신요금09
쿠팡이츠,쿠팡이츠
비플_다나와 생,비플 다나와 생
003.넷플,003 넷플
카카오페이,카카오페이
김성훈,[이름]
이도행,[이름]
230280943355,230280943355
(주)플러스에프,주 플러스에프
권우현,[이름]
배민페이머니,배민페이머니
맛양값,맛양값
대교반점,대교반점
서울콩국수 서,서울콩국수 서
비플_화목식당,비플 화목식당
놀맨,놀맨
신한카드,신한카드
06.19~09.17,06 19 09 17
GS25 신사대로,GS25 신사대로
비플_가락농산,비플 가락농산
송장원,[이름]
(주)삼성한식부,주 삼[이름]부
티머니 법인택,티머니 법인택
(주)파리크라상,주 파리크라상
허니크림,허니크림
신한생명06-023,신[이름]06 023
8125 신한카드,8125 신한카드
KT통신요금07,KT통신요금07
주식회사티머,주식회사티머
빠뽕,빠뽕
081.최승언,081 [이름]
003.Ibk기업퇴,003 Ibk기업퇴
(주)이마트 김,주 이마트 김
GS25동여의점,GS25[이름]점
컴포즈,컴포즈
03.18~06.16,03 18 06 16
오네스타키친,오네스타키친
(주)우아한형제,주 [이름]형제
비플_까르보네,비플 까르보네
주식회사 아성,주식회사 아성
정재훈,[이름]
한우가,[이름]
유엔난민기구,유엔[이름]구
세븐일레븐 서,세븐일레븐 서
신서연,[이름]
정규석,[이름]
홍순신,홍순신
피자스쿨 신도,피자스쿨 신도
송철 2 호점,송철 2 호점
004.전세금리,004 전세금리
비플_도림파리,비플 도림파리
유재민,[이름]
세븐일레븐  아,세븐일레븐 아
비플_세븐일레,비플 세븐일레
비플_마포만두,비플 마포만두
디스트릭트 와,디스트릭트 와
현대카드　　　,현대카드
네이버페이결제,네이버페[이름]
커피보더,커피보더
동안피부과,동안피부과
에이치엔엠헤네,에[이름]엠헤네
카카오헤어샵,카카오헤어샵
쿠팡와우월회비,쿠팡와우월회비
비플_사이,비플 사이
진영주,[이름]
비플_바삭마차,비플 바삭마차
킹콩쥬스엔청춘,킹콩쥬스엔청춘
비플_KFC 동여,비플 KFC 동여
롯데쇼핑(주),롯데쇼핑 주
비플_분짜라붐(,비플 분짜라붐
조현준,[이름]
박주원,[이름]
수도2212가정,수도2212가정
신한카드캐시백,신한카드캐시백
티머니페이　　,티머니페이
(주) 탑뮤직앤,주 탑뮤직앤
백수진,[이름]
롯데리아 구로,롯데리아 구로
서석민,[이름]
비플_망원닭강,비플 망원닭강
해경 아는약국,해경 아는약국
비플_유성반점,비플 유성반점
네이버0809,네이버0809
비플_국대떡볶,비플 국대떡볶
성필재,성필재
아이스베리,아이스베리
수도2306가정,수도2306가정
KT통신요금06,KT통신요금06
KCP-결제,KCP 결제
픽미픽미아이스,픽미픽미아이스
(주)아트앤아츠,주 아트앤아츠
씨티카드대금,씨티카드대금
정대운,[이름]
신한체크교통,신한체크교통
Mr.돈까스,Mr 돈까스
메가엠지씨커피,메가엠지씨커피
비플_장수한방,비플 장수한방
현대카드(주),현대카드 주
(주)준코-종각,주 준코 종각
(주)진에어(오,주 진에어 오
이비카드택시_0,이비카드택시 0
송정은,[이름]
당근341,당근341
KT통신요금08,KT통신요금08
정순영,[이름]
09.18~12.17,09 18 12 17
카카오_카카오,카카오 카카오
서울가스/최승,서울가스 최승
파머스빈,파머스빈
278.투자용,278 투자용
씨티카드연회비,씨티카드연회비
백승진,[이름]
비플_파파쌀호,비플 파파쌀호
비플_삼육공 여,비플 삼육공 여
(주)코리아세븐,주 코리아세븐
노란감자,노란감자
비플_큐스,비플 큐스
12.17~03.17,12 17 03 17
비플_컴포즈,비플 컴포즈
네이버5910,네이버5910
주식회사 벨스,주식회사 벨스
진우슈퍼,진우슈퍼
오원집 (김제점,[이름] [이름]
화난번호,화난번호
또치,또치
081.조옥자(한,081 [이름] 한
주식회사 한담,주식회사 한담
비플_써브웨이,비플 써브웨이
세븐일레븐 당,세븐일레븐 당
조옥자(한성리빙메르,[이름] [이름]빙메르
06.18~09.16,06 18 09 16
매스커피 여의,매스커피 여의
채호영,[이름]
김배선,[이름]
에어부산  주식,에어부산 주식
011.최승언,011 [이름]
현대해상화재보,현대해상화재보
육당당,육당당
최승언,[이름]
오뚜기네,오뚜기네
씨유(CU)송도웨,씨유 CU 송도웨
당근페이,당근페이
달빛발음,달빛발음
Otgonba,Otgonba
비플_파머스빈,비플 파머스빈
화안피부과의원,화안피부과의원
이명학,[이름]
비플_픽미픽미,비플 픽미픽미
알라딘중고서점,알라딘중[이름]
GS25 신도림타,GS25 신도림타
주식회사 현대,주식회사 현대
278.최승언,278 [이름]
실무PT스터디환급,실무PT스터디환급
수도2210가정,수도2210가정
비플_다이소 여,비플 다이소 여
현대카드,현대카드
004.최승언,004 [이름]
이마트24 여의,이마트24 여의
크린토피아성산지사,크린토피아성산지사
홈플러스월드컵,홈플러스월드컵
워시프레쉬셀프,워시프레쉬셀프
롯데컬처웍스㈜,롯데컬처웍스㈜
(유) 전주앤티,유 전주앤티
비플_교동닭강,비플 교동닭강
비플_하노이의,비플 하노이의
이소영,[이름]
마라향방마라탕,마라향방마라탕
롯데쇼핑(주)롭,롯데쇼핑 주 롭
최광우,[이름]
네이버4867,네이버4867
도림핫스타,도림핫스타
최연정,[이름]
노트북값,노트북값
청년희망적금,[이름]망적금
비플_연우김밥,비플 연우김밥
비플_카페아에,비플 카페아에
서영석,[이름]
GS25제주신평점,GS25제주신평점
고전떡볶이본점,고전떡볶[이름]
와플하우스,와플하우스
씨제이올리브영,씨제[이름]브영
수도2302가정,수도2302가정
신한Life07-024,[이름]ife07 024
(주)이랜드월드,주 이랜드월드
퍼플펌 PC방,퍼플펌 PC방
씨티리볼빙카드,씨티리볼빙카드
정광호,[이름]
12.18~03.18,12 18 03 18
변영주,[이름]
비플_이마트 신,비플 이마트 신
7099 신한카드,7099 신한카드
한국철도공사 (,[이름]도공사
사계다이닝,사계다이닝
쿠팡,쿠팡
09.17~12.16,09 17 12 16
비플_치킨친구,비플 치킨친구
비플_애플치과,비플 애플치과
이마트24 성산,이마트24 성산
비플_은성회관,비플 은성회관
(주)현대백화점,주 현대백화점
심지한,[이름]
KT6526065810,KT6526065810
삼성전자서비스,삼성전자서비스
한상혁,[이름]
비플_프로스펙,비플 프로스펙
친구라면,친구라면
비플_텐퍼센트,비플 텐퍼센트
비플_부산대원,비플 부산대원
(주)우아한형,주 우아한형
03.19~06.17,03 19 06 17
백승우,[이름]
권호철,[이름]
심수인,심수인
230-280-943355,230 280 943355
정성혜,[이름]
신한Life자유납,[이름]ife자유납
락휴코인노래연,락휴코[이름]연
미니스톱 김제,미니스톱 김제
비플_티지에스,비플 티지에스
비플_키다리아,비플 키다리아
공공기관,공공기관
필레코드,필레코드
빽다방 신사사,빽다방 신사사
비플_메가박스,비플 메가박스
도림우리들약국,도림우리들약국
급여,급여
금옥당 인사점,금옥당 인사점
코레일유통주식,코레일유통주식
(주)디케이매지,주 디케[이름]
비플_고방채,비플 [이름]
비플_은행골,비플 은행골
수도2304가정,수도2304가정
KT통신요금10,KT통신요금10
헤어살롱 H.L`d,헤어살롱 H L d
정소윤,[이름]
로얄 인디아,로얄 인디아
